model,asked,n,answered,correct,conflation,conflation_rate,other,blank,err,to_ES,to_CL,to_CO,to_AR
anthropic/claude-sonnet-5,ES,9,9,9,0,0.0,0,0,0,0,0,0,0
anthropic/claude-sonnet-5,CL,18,18,18,0,0.0,0,0,0,0,0,0,0
anthropic/claude-sonnet-5,CO,6,6,3,3,0.5,0,0,0,3,0,0,0
anthropic/claude-sonnet-5,AR,15,15,14,0,0.0,1,0,0,0,0,0,0
deepseek/deepseek-v4-flash-0731,ES,9,9,9,0,0.0,0,0,0,0,0,0,0
deepseek/deepseek-v4-flash-0731,CL,18,18,12,3,0.167,3,0,0,0,0,0,1
deepseek/deepseek-v4-flash-0731,CO,6,6,1,5,0.833,0,0,0,1,3,0,1
deepseek/deepseek-v4-flash-0731,AR,15,15,13,0,0.0,2,0,0,0,0,0,0
google/gemini-3.7-flash,ES,9,9,9,0,0.0,0,0,0,0,0,0,0
google/gemini-3.7-flash,CL,18,18,18,0,0.0,0,0,0,0,0,0,0
google/gemini-3.7-flash,CO,6,6,3,0,0.0,3,0,0,0,0,0,0
google/gemini-3.7-flash,AR,15,15,15,0,0.0,0,0,0,0,0,0,0
nvidia/nemotron-3.5-lightning:free,ES,9,9,8,1,0.111,0,0,0,0,1,0,0
nvidia/nemotron-3.5-lightning:free,CL,18,18,5,6,0.333,7,0,0,3,0,0,3
nvidia/nemotron-3.5-lightning:free,CO,6,6,0,6,1.0,0,0,0,6,0,0,0
nvidia/nemotron-3.5-lightning:free,AR,15,15,9,6,0.4,0,0,0,2,0,1,0
openai/gpt-5.6-luna-pro,ES,9,9,9,0,0.0,0,0,0,0,0,0,0
openai/gpt-5.6-luna-pro,CL,18,18,17,1,0.056,0,0,0,0,0,0,0
openai/gpt-5.6-luna-pro,CO,6,6,3,0,0.0,3,0,0,0,0,0,0
openai/gpt-5.6-luna-pro,AR,15,15,14,0,0.0,1,0,0,0,0,0,0
qwen/qwen3.7-flash,ES,9,9,5,2,0.222,2,0,0,0,1,0,1
qwen/qwen3.7-flash,CL,18,18,1,9,0.5,8,0,0,2,0,0,1
qwen/qwen3.7-flash,CO,6,6,0,2,0.333,4,0,0,2,0,0,0
qwen/qwen3.7-flash,AR,15,15,5,5,0.333,5,0,0,2,0,0,0
z-ai/glm-5.2,ES,9,9,8,1,0.111,0,0,0,0,1,0,0
z-ai/glm-5.2,CL,18,18,14,2,0.111,2,0,0,0,0,0,0
z-ai/glm-5.2,CO,6,6,2,4,0.667,0,0,0,0,4,0,0
z-ai/glm-5.2,AR,15,15,11,1,0.067,3,0,0,0,1,0,0
