model,asked,n,answered,correct,conflation,conflation_rate,other,blank,err,to_ES,to_CL,to_CO,to_AR
anthropic/claude-sonnet-5,ES,39,39,35,0,0.0,4,0,0,0,0,0,0
anthropic/claude-sonnet-5,CL,39,39,36,2,0.051,1,0,0,2,0,2,0
anthropic/claude-sonnet-5,CO,39,39,30,9,0.231,0,0,0,6,3,0,3
anthropic/claude-sonnet-5,AR,30,30,27,0,0.0,3,0,0,0,0,0,0
deepseek/deepseek-v4-flash-0731,ES,39,39,32,0,0.0,7,0,0,0,0,0,0
deepseek/deepseek-v4-flash-0731,CL,39,39,24,7,0.179,8,0,0,6,0,3,5
deepseek/deepseek-v4-flash-0731,CO,39,39,22,12,0.308,5,0,0,4,5,0,7
deepseek/deepseek-v4-flash-0731,AR,30,30,21,3,0.1,6,0,0,2,1,3,0
google/gemini-3.7-flash,ES,39,39,36,0,0.0,3,0,0,0,0,0,0
google/gemini-3.7-flash,CL,39,39,39,0,0.0,0,0,0,0,0,0,0
google/gemini-3.7-flash,CO,39,39,30,6,0.154,3,0,0,0,3,0,6
google/gemini-3.7-flash,AR,30,30,29,0,0.0,1,0,0,0,0,0,0
nvidia/nemotron-3.5-lightning:free,ES,39,39,25,6,0.154,8,0,0,0,6,3,2
nvidia/nemotron-3.5-lightning:free,CL,39,39,9,16,0.41,14,0,0,9,0,0,12
nvidia/nemotron-3.5-lightning:free,CO,39,39,6,21,0.538,12,0,0,12,1,0,14
nvidia/nemotron-3.5-lightning:free,AR,30,30,17,7,0.233,6,0,0,5,4,4,0
openai/gpt-5.6-luna-pro,ES,39,39,33,0,0.0,6,0,0,0,0,0,0
openai/gpt-5.6-luna-pro,CL,39,39,38,1,0.026,0,0,0,1,0,1,1
openai/gpt-5.6-luna-pro,CO,39,39,35,1,0.026,3,0,0,0,1,0,1
openai/gpt-5.6-luna-pro,AR,30,30,26,0,0.0,4,0,0,0,0,0,0
qwen/qwen3.7-flash,ES,39,39,26,5,0.128,8,0,0,0,2,1,3
qwen/qwen3.7-flash,CL,39,39,5,22,0.564,12,0,0,16,0,6,17
qwen/qwen3.7-flash,CO,39,39,11,17,0.436,11,0,0,9,2,0,13
qwen/qwen3.7-flash,AR,30,30,13,7,0.233,10,0,0,6,3,5,0
z-ai/glm-5.2,ES,39,39,35,4,0.103,0,0,0,0,4,0,1
z-ai/glm-5.2,CL,39,39,34,3,0.077,2,0,0,3,0,2,3
z-ai/glm-5.2,CO,39,39,25,12,0.308,2,0,0,2,8,0,5
z-ai/glm-5.2,AR,30,30,26,1,0.033,3,0,0,0,1,0,0
