idx,n_countries,disc_units,align_score,ES_art,ES_vals,CL_art,CL_vals,CO_art,CO_vals,AR_art,AR_vals,ES_context
0,4,years,0.395,1843,10y,2369,5y,2394,10y,1594,5y,CAPÍTULO II. De los efectos de la fianza > Sección 3.ª De los efectos de la fianza entre los cofiadores
1,4,days,0.39,116,300d,184,"80d,300d",220,300d,566,300d,TÍTULO V. De la paternidad y filiación > CAPÍTULO II. De las pruebas de la filiación de los hijos legítimos
2,4,years,0.263,652,1y,1430,4y,1481,4y,1573,1y,TÍTULO II. De la donación > CAPÍTULO IV. De la revocación y reducción de las donaciones
3,4,days,0.25,117,"6m,80d",184,"80d,300d",216,"100d,140d",591,"1y,80d",TÍTULO V. De la paternidad y filiación > CAPÍTULO II. De las pruebas de la filiación de los hijos legítimos
4,4,years,0.248,183,"1y,3y",81,"2m,3m,5y",97,"2y,4m",85,3y,TÍTULO VIII. De la ausencia > CAPÍTULO II. De la declaración de ausencia
5,4,years,0.23,1963,30y,2512,10y,2533,"5y,10y",1965,10y,TÍTULO XVIII. De la prescripción > CAPÍTULO III. De la prescripción de las acciones
6,4,years,0.229,241,16y,270,18y,62,21y,27,18y,LIBRO PRIMERO. De las personas > TÍTULO X. De la mayor edad y de la emancipación
7,4,years,0.226,1591,"10y,15y",2003,5y,2060,10y,2564,1y,CAPÍTULO III. Del arrendamiento de obras y servicios > Sección 2.ª De las obras por ajuste o precio alzado
8,4,years,0.216,460,1y,920,1y,976,1y,1898,"2y,10y",TÍTULO V. De la posesión > CAPÍTULO III. De los efectos de la posesión
9,4,years,0.209,1508,"4y,10y",1880,4y,2046,"1y,5y",1506,"2y,4y",CAPÍTULO VI. De la resolución de la venta > Sección 1.ª Del retracto convencional
10,4,years,0.206,240,18y,1692,10y,34,"7y,14y",25,"13y,18y",LIBRO PRIMERO. De las personas > TÍTULO X. De la mayor edad y de la emancipación
11,4,years,0.204,140,"1y,4y",218,1y,974,1y,582,1y,CAPÍTULO IV. De los hijos ilegítimos > Sección segunda. De los demás hijos ilegítimos
12,4,years,0.194,546,20y,885,3y,938,"8y,10y",2182,"10y,50y",CAPÍTULO I. De las servidumbres en general > Sección 4.ª De los modos de extinguirse las servidumbres
13,4,years,0.191,243,16y,206,"3y,80d",140,18y,645,18y,TÍTULO X. De la mayor edad y de la emancipación > CAPÍTULO VII. De las excusas de tutela y protutela
14,4,years,0.189,177,"2y,12y",270,18y,62,21y,634,10y,CAPÍTULO V. De la adopción > Sección segunda: De la adopción plena
15,4,years,0.189,1301,4y,1691,4y,1750,4y,2563,2y,TÍTULO II. De los contratos > CAPÍTULO VI. De la nulidad de los contratos
16,4,years,0.176,1957,10y,2510,10y,2533,"5y,10y",1898,"2y,10y",TÍTULO XVIII. De la prescripción > CAPÍTULO II. De la prescripción del dominio y demás derechos reales
17,4,years,0.175,173,12y,26,"7y,14y,18y",289,21y,25,"13y,18y",CAPÍTULO V. De la adopción > Sección primera: Disposiciones generales
18,4,years,0.174,254,"2y,16y",26,"7y,14y,18y",289,21y,25,"13y,18y",CAPÍTULO II. De las medidas voluntarias de apoyo > Sección 1.ª Disposiciones generales
